,tweet_tokenized
10,"['congratulations', 'telangana', 'even', 'second', 'dose', 'coverage', 'is', 'not', 'far', 'behind', 'already', 'vaccinated', 'lakh', 'citizens', 'to', 'go', 'karimnagar', 'dt', 'and', 'not', 'hyderabad', 'leads', 'with', 'nd', 'dose', 'vaccination', 'of', 'covid']"
11,"['it', 's', 'a', 'sliding', 'standard', 'anti', 'vax', 'anti', 'big', 'pharma', 'anti', 'mandates', 'anti', 'vax', 'passports', 'anti', 'boosters', 'antivaxxers', 'covid']"
12,"['picture', 'being', 'a', 'nurse', 'working', 'through', 'covid', 'and', 'the', 'hospital', 'have', 'you', 'do', 'extra', 'not', 'in', 'ur', 'work', 'requirements', 'causing', 'you', 'injury', 'requiring', 'surgery', 'repair', 'then', 'fire', 'you', 'cutting', 'off', 'your', 'medical', 'coverage', 'during', 'recovery', 'leaving', 'you', 'battling', 'covid', 'with', 'no', 'health', 'ins']"
13,"['rand', 'paul', 'blames', 'covid', 'deaths', 'on', 'fauci', 'due', 'to', 'his', 'bias', 'towards', 'vaccines', 'over', 'therapeutics', 'such', 'as', 'monoclonal', 'antibodies', 'treatment', 'is', 'he', 'right', 'covid', 'vaccine']"
14,"['newsalert', 'delhi', 'records', 'covid', 'cases', 'highest', 'since', 'june', 'and', 'one', 'fatality', 'positivity', 'rate', 'at', 'authorities', 'delhi', 'covid', 'omicronvariant']"
15,"['i', 'think', 'he', 'will', 'play', 'at', 'the', 'aussie', 'open', 'he', 's', 'had', 'the', 'covid', 'amp', 'probably', 'has', 'the', 'antibodies', 'to', 'fight', 'it', 'who', 'really', 'knows', 'how', 'long', 'they', 'last', 'this', 'vaccine', 'is', 'a', 'money', 'making', 'scam', 'if', 'u', 'ask', 'me', 'when', 'is', 'enough', 'vaccine', 'i', 've', 'had', 'shots', 'amp', 'the', 'booster', 'lasts', 'wks']"
16,"['another', 'tragic', 'example', 'of', 'the', 'covid', 'mass', 'psychosis', 'petermcculloughmd', 'covidvaccination', 'vaccination', 'boosterjab']"
17,"['do', 'not', 'let', 'neocons', 'gaslight', 'you', 'that', 'florida', 'is', 'open', 'of', 'orlando', 'area', 'back', 'in', 'masks', 'i', 'live', 'in', 'fl', 'amp', 'actually', 'leave', 'my', 'home', 'and', 'in', 'public', 'end', 'the', 'covid', 'hoax', 'neocons', 'gaslighting', 'florida', 'is', 'open', 'do', 'not', 'want', 'to', 'end', 'the', 'covid', 'hoax', 'stop', 'being', 'sheeple', 'covid']"
18,"['effective', 'in', 'preventing', 'covid', 'cases', 'in', 'south', 'africa', 'i', 'give', 'you', 'ceo', 'of', 'the', 'year', 'totallie']"
19,"['amber', 'level', 'alert', 'in', 'friday', 'or', 'saturday', 'covid', 'delhi']"
20,"['according', 'to', 'dw', 'tv', 'germany', 'has', 'borrowed', 'about', 'billion', 'to', 'support', 'their', 'economy', 'since', 'the', 'pandemic', 'also', 'of', 'the', 'citizens', 'are', 'having', 'serious', 'financial', 'problems', 'covid', 'wahala', 'everywhere']"
21,"['first', 'covid', 'shot', 'recipient', 'in', 'us', 'now', 'a', 'vaccine', 'activist']"
22,"['westvirginia', 'is', 'at', 'the', 'top', 'of', 'the', 'chart', 'with', 'covid', 'deaths', 'wtfacts']"
23,"['important', 'thread', 'on', 'the', 'ethics', 'of', 'the', 'recs', 'if', 'you', 're', 'working', 'while', 'positive', 'or', 'if', 'healthcare', 'systems', 'are', 'requiring', 'hcws', 'to', 'work', 'while', 'positive', 'should', 'it', 'be', 'disclosed', 'to', 'patients', 'take', 'as', 'always', 'by', 'covid']"
24,"['unless', 'you', 'develop', 'symptoms', 'first', 'testing', 'five', 'to', 'seven', 'days', 'after', 'exposure', 'is', 'the', 'cdc', 'recommendation', 'testing', 'too', 'early', 'can', 'give', 'a', 'false', 'sense', 'of', 'security', 'doctors', 'warn', 'chicago', 'cdc', 'covid']"
25,"['guidance', 'v', 'rules', 'what', 'public', 'health', 'measures', 'do', 'scientists', 'think', 'work', 'best', 'to', 'prevent', 'the', 'spread', 'of', 'the', 'covid', 'by', 'via', 'riskcommunication']"
26,"['delta', 'spreads', 'covid', 'profits', 'over', 'people', 'is', 'ur', 'slogan']"
27,"['when', 'keeping', 'the', 'wheels', 'turning', 'is', 'more', 'important', 'than', 'keeping', 'us', 'safe', 'we', 'have', 'failed', 'this', 'just', 'ain', 't', 'right', 'it', 's', 'not', 'science', 'be', 'the', 'presis', 'who', 'follows', 'science', 'deliver', 'on', 'science', 'don', 't', 'put', 'americans', 'at', 'more', 'risk', 'fix', 'this', 'vtpoli', 'covid', 'omicron']"
28,"['not', 'accurate', 'amp', 'are', 'sold', 'out', 'everywhere', 'but', 'wait', 'perrottet', 'said', 'today', 'that', 'we', 'll', 'get', 'some', 'covid', 'testing', 'kits', 'late', 'january', 'yay', 'full', 'of', 'lies', 'and', 'the', 'testing', 'kits', 'are', 'just', 'like', 'the', 'vaccination', 'bungles', 'too', 'little', 'too', 'late', 'letitrip', 'covid']"
29,"['covid', 'idiots', 'killing', 'their', 'own', 'kids', 'smdh']"
30,"['booster', 'dose', 'covid', 'vaccine', 'pfizer', 'covid']"
31,"['cue', 'the', 'libs', 'aren', 't', 'following', 'the', 'science', 'editorials', 'about', 'people', 'who', 'actually', 'wait', 'for', 'a', 'negative', 'test', 'before', 'coming', 'out', 'of', 'isolation']"
32,"['sample', 'of', 'the', 'covid', 'positive', 'dibrugarh', 'university', 'student', 'has', 'been', 'sent', 'for', 'genome', 'sequencing', 'assam', 'omicron']"
33,"['pa', 'state', 'amp', 'local', 'sequencing', 'capacity', 'abysmal', 'since', 'start', 'of', 'pandemic', 'pgh', 'generally', 'on', 'back', 'end', 'of', 'covid', 'epi', 'nationally', 'throughout', 'w', 'trends', 'eventually', 'arriving', 'from', 'east', 'coast', 'or', 'through', 'appalachia', 'upper', 'midwest', 'gotta', 'believe', 'we', 're', 'seeing', 'omicron', 'now', 'though', 'w', 'numbers']"
34,"['virginia', 'covid', 'cases', 'continue', 'to', 'surge', 'up', 'since', 'monday', 'morning', 'deaths', 'up', 'hospitalizations', 'up', 'covid', 'cases', 'up', 'a', 'massive', 'over', 'the', 'past', 'days']"
35,"['this', 'past', 'year', 'we', 'have', 'faced', 'one', 'challenge', 'after', 'another', 'covid', 'a', 'mental', 'health', 'crisis', 'healthcare', 'worker', 'exhaustion', 'but', 'together', 'we', 'have', 'taken', 'extraordinary', 'steps', 'forward', 'as', 'we', 'look', 'back', 'on', 'here', 'are', 'the', 'stories', 'that', 'have', 'shaped', 'our', 'year']"
36,"['my', 'step', 'program', 'to', 'get', 'the', 'uk', 'out', 'of', 'the', 'covid', 'mass', 'psychosis', 'stop', 'all', 'testing', 'the', 'tests', 'are', 'bogus', 'useless', 'treat', 'everyone', 'as', 'healthy', 'unless', 'proven', 'otherwise', 'acknowledge', 'that', 'the', 'vaccines', 'aren', 't', 'very', 'effective', 'stop', 'taking', 'advice', 'from', 'the', 'state', 'and', 'sage']"
37,"['yellowalert', 'declared', 'in', 'delhi', 'after', 'new', 'covid', 'cases', 'registered', 'in', 'the', 'last', 'hrs']"
38,"['i', 'am', 'working', 'in', 'the', 'allergist', 'office', 'today', 'and', 'omg', 'its', 'all', 'covid', 'and', 'covidtesting', 'i', 'am', 'in', 'such', 'a', 'panic', 'shame', 'on', 'our', 'leaders', 'for', 'letitrip', 'afraid', 'of', 'political', 'push', 'back', 'over', 'health', 'and', 'safety']"
39,"['cdc', 'the', 'cdc', 'has', 'shortened', 'the', 'recommended', 'time', 'for', 'covid', 'isolation', 'and', 'quarantine', 'anyway', 'check', 'out', 'this', 'blue', 'and', 'green', 'color', 'block', 'face', 'mask', 'redbubble']"
40,"['experts', 'say', 'the', 'uk', 'must', 'learn', 'to', 'live', 'with', 'coronavirus', 'as', 'professors', 'predict', 'the', 'worst', 'is', 'over', 'covid']"
41,"['kenya', 'records', 'new', 'covid', 'cases', 'in', 'the', 'last', 'hrs', 'total', 'number', 'now', 'at', 'positivity', 'rate', 'stands', 'at', 'trending', 'covid', 'raila', 'jkia', 'm', 'pesa', 'beforeandafteruhuru']"
42,"['protip', 'for', 'keeping', 'sane', 'during', 'this', 'sustained', 'pandemic', 'stick', 'to', 'what', 'works', 'go', 'w', 'highest', 'level', 's', 'of', 'protection', 'know', 'your', 'risks', 'proceed', 'with', 'caution', 'we', 'in', 'the', 'usa', 'must', 'do', 'some', 'serious', 'soul', 'searching', 'why', 'are', 'we', 'the', 'standout', 'in', 'terms', 'of', 'rate', 'of', 'covid', 'infection', 'amp', 'mortality']"
43,"['fyi', 'these', 'covid', 'numbers', 'continue', 'to', 'rise', 'in', 'georgia', 'and', 'the', 'tests', 'are', 'becoming', 'more', 'limited', 'govern', 'yourself', 'according', 'gapol']"
44,"['this', 'is', 'why', 'omicron', 'has', 'me', 'worried', 'stop', 'thinking', 'about', 'just', 'yourself', 'kids', 'under', 'can', 't', 'be', 'vaccinated', 'kids', 'under', 'aren', 't', 'eligible', 'boosters', 'your', 'decisions', 'affect', 'more', 'than', 'just', 'you', 'omicron', 'covid']"
45,"['beware', 'of', 'this', 'mutating', 'virus', 'covid', 'mtgisatraitortous']"
46,"['punjab', 'state', 'of', 'india', 'bans', 'entry', 'of', 'not', 'fully', 'vaccinated', 'people', 'from', 'jan', 'in', 'public', 'places', 'the', 'official', 'release', 'of', 'the', 'state', 'govt', 'i', 'believe', 'it', 'is', 'sensible', 'decision', 'in', 'view', 'of', 'omicron', 'delmicron', 'varient', 'of', 'covid', 'mir', 'younis']"
47,"['is', 'that', 'covid', 'mask', 'you', 're', 'wearing', 'good', 'enough', 'amid', 'omicron', 'here', 's', 'what', 'the', 'experts', 'say', 'by', 'via', 'ppe', 'masks']"
48,"['cdc', 'the', 'cdc', 'has', 'shortened', 'the', 'recommended', 'time', 'for', 'covid', 'isolation', 'and', 'quarantine', 'anyway', 'check', 'out', 'this', 'international', 'klein', 'blue', 'face', 'mask', 'redbubble']"
49,"['as', 'you', 'know', 'covid', 'has', 'many', 'symptoms', 'should', 'an', 'individual', 'show', 'any', 'of', 'the', 'symptoms', 'listed', 'please', 'follow', 'the', 'guidelines', 'in', 'regards', 'to', 'staying', 'home', 'or', 'going', 'to', 'school', 'covid', 'besafe']"
50,"['covid', 'maharashtra', 'reports', 'new', 'cases', 'recoveries', 'and', 'deaths', 'today']"
51,"['yellowalert', 'delhi', 'omicronindia', 'omicron', 'covid', 'vaccine', 'failure', 'depopulationagenda', 'newworldorder', 'covid', 'experimental', 's', 'making', 'people', 'sick']"
52,"['homegrown', 'pharma', 'majors', 'hetero', 'and', 'torrent', 'announced', 'plans', 'to', 'market', 'their', 'versions', 'of', 'antiviral', 'drug', 'molnupiravir', 'to', 'treat', 'high', 'risk', 'adult', 'patients', 'with', 'covid', 'across', 'india', 'shortly', 'covid', 'covidvariant', 'india', 'cipla']"
53,"['good', 'all', 'the', 'very', 'best', 'have', 'a', 'great', 'time', 'but', 'do', 'think', 'over', 'what', 'i', 'tried', 'to', 'convey', 'covid', 'was', 'just', 'anything', 'that', 'existed', 'all', 'these', 'days', 'like', 'many', 'planets', 'that', 'astronomers', 'do', 'find', 'with', 'passage', 'of', 'time', 'a', 'normal', 'body', 'is', 'well', 'built', 'to', 'fight', 'any', 'such', 'viruses', 'all', 'the', 'best']"
54,"['covid', 'the', 'figures', 'are', 'staggering', 'the', 'global', 'tally', 'for', 'covid', 'rose', 'to', 'million', 'as', 'of', 'tuesday', 'morning', 'and', 'the', 'death', 'toll', 'climbed', 'to', 'million', 'according', 'to', 'data', 'aggregated', 'by', 'johns', 'hopkins', 'university']"
55,"['i', 'think', 'yes', 'we', 'all', 'r', 'facing', 'covid', 'but', 'shut', 'down', 'of', 'cinama', 'z', 'not', 'the', 'solution', 'we', 'should', 'think', 'about', 'cinama', 'workers']"
56,"['covid', 'how', 'is', 'it', 'affecting', 'tech', 'salaries', 'exocommunity', 'openexo', 'exoinsight', 'covid', 'exponentialinsights']"
57,"['indians', 'have', 'normalised', 'this', 'shitty', 'behaviour', 'regardless', 'of', 'repeated', 'telling', 'and', 'awareness', 'no', 'one', 'cares', 'how', 'can', 'we', 'stop', 'these', 'ignorant', 'people', 'what', 'do', 'you', 'think', 'socialwork', 'covid', 'omicron', 'omicronindia']"
58,"['cruise', 'ships', 'aren', 't', 'covid', 'jails', 'anymore', 'but', 'they', 'are', 'being', 'turned', 'away', 'from', 'some', 'ports', 'cruising', 'traveltuesday', 'covid', 'omicron']"
59,"['i', 'feel', 'young', 'ppl', 'fed', 'up', 'and', 'want', 'a', 'lil', 'free', 'up', 'two', 'years', 'livin', 'in', 'fear', 'of', 'contracting', 'covid', 'takes', 'a', 'toll', 'on', 'someone', 's', 'mental', 'health']"
60,"['covid', 'is', 'one', 'of', 'the', 'many', 'emergent', 'diseases', 'that', 'hurt', 'the', 'elderly', 'but', 'it', 'surely', 'won', 't', 'be', 'the', 'last', 'writes', 'on', 'how', 'india', 'should', 'undertake', 'suitable', 'policy', 'changes', 'to', 'ensure', 'their', 'survival', 'omnicronvariant', 'pandemic']"
61,"['covid', 'actions', 'to', 'be', 'taken', 'against', 'those', 'violating', 'mandatory', 'quarantine', 'rule', 'gujarat', 'coronavirus', 'tv', 'news']"
62,"['hold', 'on', 'xi', 'an', 'covid']"
63,"['how', 'the', 'recent', 'wave', 'of', 'covid', 'engulfed', 'us', 'in', 'a', 'short', 'time', 'is', 'still', 'a', 'puzzle', 'perhaps', 'the', 'influx', 'of', 'people', 'from', 'other', 'countries', 'coming', 'for', 'xmas', 'remember', 'it', 'happened', 'a', 'week', 'before', 'th', 'dec', 'the', 'scientists', 'are', 'not', 'coming', 'out', 'to', 'say', 'a', 'thing']"
64,"['not', 'clear', 'on', 'who', 'we', 'are', 'and', 'what', 'we', 'do', 'opllo', 'or', 'operation', 'local', 'is', 'an', 'ecommerce', 'platform', 'created', 'by', 'the', 'non', 'profit', 'organization', 'community', 'ventures', 'during', 'the', 'covid', 'pandemic', 'opllo', 'is', 'designed', 'specifically', 'for', 'small', 'businesses', 'and', 'entrepreneurs', 'to', 'reach', 'a', 'new', 'broader']"
65,"['today', 'delhi', 'reports', 'a', 'huge', 'jump', 'in', 'covid', 'cases', 'as', 'compared', 'to', 'yesterday', 'new', 'cases', 'death', 'and', 'recoveries', 'in', 'the', 'last', 'hours', 'active', 'cases', 'now', 'please', 'wearamask', 'delhi', 'covid', 'coronaindelhi', 'yellowalert', 'omicronindia']"
66,"['new', 'covid', 'cases', 'in', 'mumbai', 'today', 'higher', 'than', 'yesterday', 'covid', 'omicron']"
67,"['it', 's', 'true', 'there', 's', 'supposed', 'to', 'be', 'a', 'press', 'conference', 'today', 'with', 'all', 'three', 'together', 'covid', 'vaccinemandates', 'schools', 'pressconference']"
68,"['interesting', 'observation', 'that', 'omicron', 'the', 'less', 'virulent', 'variant', 'so', 'far', 'may', 'may', 'displace', 'delta', 'counterpart', 'covid']"
69,"['so', 'many', 'covid', 'antivaxxers', 'now', 'calling', 'for', 'advice', 're', 'omicronvirus']"
70,"['ranvirshorey', 's', 'son', 'tests', 'positive', 'for', 'covid', 'after', 'goa', 'holiday', 'actor', 'shares', 'update']"
71,"['new', 'cases', 'and', 'new', 'deaths', 'in', 'germany', 'gmt', 'coronavirus', 'coronavirusupdate', 'covid', 'coronaviruspandemic']"
72,"['after', 'the', 'news', 'of', 'prof', 'varsha', 'gaikwad', 'tested', 'covid', 'positive', 'it', 'is', 'definitely', 'possible', 'that', 'the', 'students', 'of', 'th', 'and', 'th', 'appearing', 'for', 'board', 'examinations', 'can', 'also', 'be', 'tested', 'positive', 'cancelboardexams', 'cancelboardexam', 'covid']"
73,"['watched', 'the', 'first', 'hour', 'amp', 'minutes', 'of', 'dontlookup', 'amp', 'it', 's', 'not', 'a', 'work', 'of', 'fiction', 'it', 's', 'a', 'dark', 'documentary', 'about', 'covid']"
74,"['i', 'm', 'a', 'history', 'buff', 'so', 'i', 'm', 'happy', 'to', 'the', 'crossing', 'reenactment', 'return', 'this', 'year', 'covid', 'can', 't', 'silence', 'history', 'forever']"
75,"['i', 'am', 'glad', 'to', 'share', 'that', 'odisha', 'has', 'achieved', 'a', 'milestone', 'of', 'full', 'vaccination', 'of', 'over', 'crore', 'people', 'this', 'remarkable', 'achievement', 'motivates', 'to', 'fight', 'covid', 'in', 'full', 'spirit', 'in', 'the', 'coming', 'year', 'let', 's', 'target', 'that', 'each', 'beneficiary', 'is', 'fully', 'vaccinated', 'nabadasjsg', 'nabadashealthminister']"
76,"['covid', 'maharashtra', 'reports', 'new', 'cases', 'recoveries', 'and', 'deaths', 'today', 'active', 'cases', 'no', 'new', 'omicron', 'case', 'was', 'reported', 'in', 'the', 'state', 'till', 'date', 'a', 'total', 'of', 'omicron', 'cases', 'have', 'been', 'reported', 'in', 'maharashtra', 'ani']"
77,"['those', 'injected', 'with', 'the', 'covid', 'vax', 'are', 'now', 'possessed', 'by', 'an', 'evil', 'spirit']"
78,"['two', 'other', 'covid', 'vaccines', 's', 'version', 'of', 's', 'shot', 'covovax', 'and', 'homegrown', 'drugmaker', 'biological', 'e', 's', 'corbevax', 'were', 'also', 'granted', 'emergency', 'use', 'approval', 'in', 'india', 'covid', 'compliance', 'procurement']"
79,"['need', 'a', 'rapid', 'covid', 'test', 'but', 'your', 'local', 'pharmacy', 'is', 'sold', 'out', 'we', 'have', 'them', 'in', 'stock', 'covidtesting', 'covid', 'gettested', 'rapidtest', 'rapidantigentests', 'wetestforcovid']"
80,"['despite', 'mexico', 's', 'medical', 'device', 'shortages', 'and', 'devastating', 'covid', 'outbreak', 'mexican', 'hospitals', 'and', 'patients', 'do', 'not', 'have', 'access', 'to', 'maquiladora', 'fabricated', 'critical', 'supplies', 'via', 'usmca']"
81,"['hey', 'before', 'working', 'with', 'covid', 'becomes', 'normalized', 'maybe', 'now', 'would', 'be', 'a', 'good', 'time', 'for', 'a', 'general', 'workers', 'strike', 'let', 's', 'all', 'give', 'up', 'capitalism', 'on', 'january', 'st', 'solidarity', 'covid']"
82,"['if', 'you', 'are', 'a', 'journalist', 'and', 'are', 'not', 'asking', 'governorstitt', 'why', 'oklahoma', 'has', 'the', 'highest', 'covid', 'death', 'rate', 'in', 'the', 'entire', 'country', 'in', 'you', 'are', 'not', 'doing', 'your', 'job']"
83,"['we', 'are', 'praying', 'for', 'all', 'our', 'office', 'staff', 'caregivers', 'families', 'and', 'friends', 'who', 'are', 'currently', 'dealing', 'with', 'the', 'impact', 'of', 'covid', 'let', 'us', 'continue', 'to', 'stay', 'safe', 'and', 'healthy', 'by', 'observing', 'all', 'the', 'necessary', 'precautions', 'and', 'by', 'following', 'the', 'public', 'health', 'recommendations', 'covid']"
84,"['why', 'will', 'the', 'fda', 'not', 'support', 'the', 'best', 'covid', 'tests', 'politics', 'corruption', 'or', 'incompetence', 'fda', 'athometest', 'covid']"
85,"['private', 'antibody', 'test', 'france', 'last', 'time', 'paid', 'several', 'hundred', 'for', 'a', 'private', 'uk', 'test', 'why', 'covid']"
86,"['omicron', 'is', 'not', 'the', 'same', 'disease', 'we', 'were', 'seeing', 'a', 'year', 'ago', 'and', 'high', 'covid', 'death', 'rates', 'are', 'now', 'history', 'leading', 'immunologist', 'sir', 'john', 'bell', 'says', 'by', 'via']"
87,"['earlier', 'this', 'year', 'aurobindo', 'pharma', 'cipla', 'sun', 'pharmaceuticals', 'and', 'some', 'others', 'signed', 'non', 'exclusive', 'voluntary', 'licensing', 'agreements', 'with', 'to', 'manufacture', 'and', 'supply', 'molnupiravir', 'in', 'india', 'covid', 'compliance', 'procurement', 'ip', 'trips', 'wto']"
88,"['funny', 'isn', 't', 'it', 'tell', 'an', 'anti', 'vaxxer', 'that', 'a', 'vaccine', 'may', 'cause', 'some', 'cardiac', 'issues', 'and', 'they', 'lap', 'it', 'up', 'like', 'gospel', 'tell', 'em', 'that', 'covid', 'itself', 'also', 'causes', 'cardiac', 'issues', 'and', 'they', 'go', 'into', 'mega', 'denial', 'no', 'you', 're', 'lying', 'it', 's', 'just', 'a', 'cold', 'bit', 'of', 'a', 'sniffle', 'etc', 'odd', 'folk', 'covid']"
89,"['ci', 'vediamo', 'dopo', 'see', 'you', 'later', 'daymotivation', 'poldo', 'italianfood', 'ph', 'ph', 'for', 'order', 'subscrive', 'on', 'our', 'facebook', 'group', 'thailand', 'bkk', 'italy', 'wearamask', 'covid', 'foodie', 'goodeats']"
90,"['i', 'wanted', 'to', 'block', 'covid', 'from', 'my', 'timeline', 'but', 'came', 'to', 'realization', 'that', 'i', 'would', 'have', 'nothing', 'left', 'to', 'read', 'on', 'twitter', 'about']"
91,"['you', 'mean', 'to', 'tell', 'me', 'a', 'career', 'politician', 'said', 'one', 'thing', 'before', 'an', 'election', 'and', 'something', 'different', 'afterwards', 'shocking', 'breakingnews', 'covid']"
92,"['expect', 'more', 'unvaccinated', 'amp', 'the', 'immunocompromised', 'to', 'die', 'as', 'more', 'states', 'run', 'out', 'covid']"
93,"['i', 'tested', 'positive', 'for', 'the', 'omicron', 'yesterday', 'after', 'experiencing', 'symptoms', 'since', 'sunday', 'night', 'i', 'assumed', 'it', 'was', 'simply', 'the', 'flu', 'but', 'i', 'felt', 'so', 'horrible', 'that', 'my', 'bones', 'hurt', 'lost', 'all', 'sensitivity', 'i', 'm', 'going', 'to', 'spend', 'the', 'rest', 'of', 'the', 'year', 'in', 'bed', 'with', 'my', 'husband', 'and', 'kids', 'covid']"
94,"['whether', 'delta', 'omicron', 'or', 'any', 'other', 'variant', 'of', 'covid', 'wear', 'mask', 'properly', 'washyourhands', 'regularly', 'get', 'vaccinated', 'and', 'follow', 'covid', 'guidelines', 'no', 'need', 'to', 'panic', 'or', 'fearmongering', 'those', 'who', 'don', 't', 'follow', 'guidelines', 'may', 'get', 'infected']"
95,"['the', 'one', 'who', 'helps', 'want', 'help', 'now', 'doctors', 'need', 'not', 'to', 'serve', 'this', 'nation', 'anymore', 'this', 'nation', 'has', 'repayed', 'the', 'cost', 'in', 'very', 'good', 'way', 'covid', 'warriors', 'have', 'to', 'fight', 'for', 'their', 'life', 'now', 'no', 'more', 'service', 'needed', 'expediteneetpgcounselling', 'doctorsstrike']"
96,"['maga', 'americans', 'storm', 'a', 'gut', 'bomb', 'eatery', 'aka', 'burger', 'king', 'in', 'nyc', 'because', 'of', 'covid', 'restrictions', 'vaxxedvsantivaxx', 'day', 'wait', 'what', 'day', 'is', 'it', 'bwhahahaha']"
97,"['my', 'personal', 'experience', 'with', 'covid', 'covidtesting', 'omicron', 'covid', 'i', 'have', 'kids', 'under', 'unvaxed', 'wife', 'unvaxed', 'due', 'to', 'medical', 'and', 'me', 'vaxed', 'all', 'recently', 'tested', 'for', 'covid', 'wife', 'over', 'a', 'week', 'sick', 'kids', 'days', 'sick', 'and', 'me', 'vaxed', 'days', 'sick', 'stay', 'safe']"
98,"['covid', 'is', 'the', 'god', 'of', 'this', 'new', 'vaxxer', 'religion', 'and', 'fauci', 'is', 'their', 'prophet', 'it', 'is', 'a', 'god', 'of', 'pestilence', 'and', 'fear', 'and', 'will', 'be', 'bowed', 'down', 'to', 'lest', 'you', 'suffer', 'it', 's', 'great', 'wrath']"
99,"['can', 'we', 'get', 'a', 'few', 'beer', 'kegs', 'shot', 'glasses', 'and', 'some', 'a', 'payment', 'processors', 'into', 'elem', 'and', 'high', 'schools', 'asap', 'i', 've', 'gathered', 'that', 's', 'all', 'that', 's', 'missing', 'from', 'keeping', 'schools', 'safe', 'and', 'open', 'next', 'week', 'covid', 'dougfordresign', 'covidontario']"
100,"['perhaps', 'tyranny', 'eventually', 'alters', 'chemical', 'balance', 'pro', 'sisi', 'egyptian', 'reports', 'the', 'british', 'all', 'of', 'em', 'acc', 'to', 'tweet', 'demanded', 'that', 'boris', 'johnson', 'follows', 'egypt', 'govt', 'in', 'fighting', 'covid']"
101,"['didn', 't', 'he', 'state', 'that', 'of', 'people', 'who', 'are', 'in', 'the', 'hospital', 'with', 'covid', 'are', 'unvaccinated', 'he', 'did', 'not', 'mention', 'deaths']"
102,"['here', 'it', 'goes', 'again', 'covid']"
103,"['i', 'legit', 'thought', 'this', 'was', 'a', 'covid', 'test']"
104,"['yes', 'keeping', 'schools', 'open', 'risks', 'giving', 'kids', 'covid', 'omicron', 'also', 'risks', 'them', 'giving', 'it', 'to', 'their', 'parents', 'no', 'one', 'talks', 'about', 'that', 'or', 'the', 'risk', 'to', 'teachers', 'health', 'and', 'if', 'we', 'can', 'even', 'run', 'schools', 'with', 'massive', 'labour', 'shortages', 'due', 'to', 'covid', 'onpoli', 'onted']"
105,"['exactly', 'what', 's', 'happening', 'he', 'they', 'are', 'more', 'concerned', 'with', 'power', 'than', 'public', 'health', 'of', 'british', 'english', 'people', 'covid']"
106,"['delhi', 'witnesses', 'biggest', 'single', 'day', 'spike', 'since', 'june', 'covid', 'massive', 'spike', 'in', 'daily', 'covid', 'cases', 'mumbai', 'delhi']"
